"Id";"Displayname";"Dob";"Rank";"Identity";"Name";"State"
1;"Bosse";"";14;"";"";0
2;"Flemming";"";0;"";"";0
3;"Nana";"";66;"";"";0
4;"Mads";"";0;"";"";0
5;"Kyller";"";0;"";"";0
6;"Peter";"";0;"";"";0
7;"Henrik";"";0;"";"";0
8;"Tim";"";0;"";"";0
9;"Kim";"";0;"";"";0
10;"John";"";26;"";"";0
11;"Curtis";"";60;"";"";0
12;"Stefano";"";0;"";"";0
13;"Bruno";"";0;"";"";0
14;"Niels";"";76;"";"";0
15;"Caroline";"";0;"";"";0
16;"Antonio";"";0;"";"";0
17;"Asser";"";0;"";"";0
18;"Jakob";"";52;"";"";0
20;"Rødsgård";"";81;"";"Henrik Rødsgård";0
